,region,Number of unemployed at the end of the period,"of them, persons who previously worked and received the status of unemployed within a year after dismissal","agriculture, forestry and fisheries",mining and quarrying,processing industry,"supply of electricity, gas, steam and air conditioning","water supply; sewerage, waste management",construction,wholesale and retail trade; repair of motor vehicles and motorcycles,"transport, warehousing, postal and courier activities",temporary accommodation and catering,information and telecommunications,financial and insurance activities,real estate transactions,"professional, scientific and technical activity",activities in the field of administrative and auxiliary services,public administration and defense; compulsory social insurance,education,health care and provision of social assistance,"arts, sports, entertainment and recreation",other types of economic activity
count,27,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
unique,27,,,,,,,,,,,,,,,,,,,,,
top,регіон,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,
mean,,6790.307692307692,6345.692307692308,730.6923076923077,98.3076923076923,780.0769230769231,86.46153846153847,113.53846153846153,96.76923076923077,1377.923076923077,299.9230769230769,186.15384615384616,60.61538461538461,90.3076923076923,61.53846153846154,116.38461538461539,189.07692307692307,1209.0,294.15384615384613,410.84615384615387,48.38461538461539,95.53846153846153
std,,16690.276126581564,15597.696831953699,1809.782744292381,253.3087869349611,1919.716748337148,213.43724712790515,281.89689331657854,237.95534164078902,3386.132365080573,738.421176461072,457.2088968782382,150.14368502819605,222.86870919548468,152.0979239225127,286.29650042193344,467.6158186440594,2972.5220402883474,723.3556078338064,1010.696025214612,118.950099427643,235.8454122121914
min,,936.0,833.0,9.0,2.0,79.0,13.0,5.0,16.0,230.0,30.0,17.0,9.0,10.0,8.0,20.0,20.0,134.0,53.0,64.0,3.0,23.0
25%,,2184.0,1993.25,136.75,13.25,281.5,24.5,20.5,32.25,477.25,102.75,79.0,17.25,27.0,16.25,37.0,44.25,434.75,106.25,166.25,16.5,30.25
50%,,3550.0,3356.0,295.0,23.0,381.0,38.0,46.5,53.0,729.0,161.5,102.0,31.0,43.0,26.5,62.5,89.5,624.0,152.0,202.0,24.5,43.5
75%,,4670.5,4315.0,617.25,43.0,552.5,54.75,85.0,69.25,886.0,202.0,119.75,38.0,60.0,44.0,80.25,116.0,879.5,187.25,249.25,32.0,56.5
max,,88274.0,82494.0,9499.0,1278.0,10141.0,1124.0,1476.0,1258.0,17913.0,3899.0,2420.0,788.0,1174.0,800.0,1513.0,2458.0,15717.0,3824.0,5341.0,629.0,1242.0
